probe	logFC	AveExpr	t	P.Value	adj.P.Val	B	symbol
ILMN_1657803	2.11901099383333	6.91719831971429	24.7206150457628	1.14875401288218e-09	6.34705963621255e-08	12.8428526936696	CFH
ILMN_1701173	1.95706123183333	10.9050916545714	24.7074172896436	1.15428379548287e-09	6.34705963621255e-08	12.8377422651075	KCNK6
ILMN_1736357	2.35615209541666	6.87625303628571	24.7058939148964	1.15492397735649e-09	6.34705963621255e-08	12.8371522003828	ERMN
ILMN_1732151	1.92313494583333	12.1394755814286	24.7043630082484	1.15556772085888e-09	6.34705963621255e-08	12.8365591798028	COL6A1
ILMN_1716790	1.81439115466666	10.4972670108571	24.7024941705031	1.15635410284605e-09	6.34705963621255e-08	12.8358352040927	APBB2
ILMN_1709153	2.68291353633333	7.665157124	24.7001048268276	1.15736037074868e-09	6.34705963621255e-08	12.8349095040602	PRR16
ILMN_1800246	4.326165867	9.06582843414286	24.6862170718141	1.16322842157794e-09	6.36425996524055e-08	12.8295271308593	FLJ35409
ILMN_1806754	2.16114644133333	8.84001024128571	24.6824090149837	1.16484321030184e-09	6.36425996524055e-08	12.8280507160553	GLDC
ILMN_1734380	1.93282851091667	6.38034421514286	24.6420047527473	1.18213031639613e-09	6.44668274034649e-08	12.8123709258286	DPF3
ILMN_1693183	1.78153970883333	6.25439271142857	24.6000822657653	1.20036809478539e-09	6.5227928772508e-08	12.7960734393746	SORBS2
ILMN_1804945	2.59613860308333	8.60020626285714	24.5996873891468	1.20054135592904e-09	6.5227928772508e-08	12.7959197916184	ZNF667
ILMN_1738725	3.26566168766667	11.4396226152857	24.5862562629399	1.20645110501472e-09	6.54276307599188e-08	12.7906921578657	LIF
ILMN_1807050	-1.75858861941667	10.1491431641429	-24.5761516015474	1.21091844820562e-09	6.5548515260077e-08	12.7867572706535	SHC4
ILMN_1749338	3.17743966766667	7.47632807842857	24.5036575278688	1.24351137775219e-09	6.71886175230125e-08	12.7584773376983	ANKRD29
ILMN_2168276	1.83704784475	5.71482373257143	24.496391219031	1.24683151033664e-09	6.72439425049882e-08	12.755637920825	C15orf56
ILMN_1791867	-2.00136217166667	8.429896171	-24.4900409998591	1.24974110721677e-09	6.72769638324324e-08	12.75315575722	EPB41L4A
ILMN_2367418	2.01470118908333	6.530883023	24.473736576939	1.25724612620403e-09	6.75567941392384e-08	12.7467796227513	OSCAR
ILMN_2253732	1.87888738291667	8.15988562242857	24.4466618909417	1.2698193411406e-09	6.79979038762276e-08	12.7361817559581	ST8SIA4
ILMN_1681296	2.58173924333333	6.55403129828571	24.4460627586171	1.27009914359899e-09	6.79979038762276e-08	12.7359470981775	ICAM4
ILMN_1766675	2.76439570491666	8.17193561785714	24.4289145354776	1.27813661923423e-09	6.8303341047946e-08	12.7292282261335	CDH6
ILMN_1652461	1.91322425566667	5.83112427457143	24.4081782255673	1.28793123582732e-09	6.87013957034663e-08	12.7210969043411	PARD3B
ILMN_1681356	2.32801841258333	5.95981868642857	24.4010647316473	1.291310371307e-09	6.87564076795008e-08	12.7183058272709	PDE2A
ILMN_1707571	-1.7146766125	8.24896980885714	-24.38579802863	1.29859575998779e-09	6.88964861304926e-08	12.7123128514873	GABRA5
ILMN_1758067	2.16180059183333	10.9414731245714	24.3856922066382	1.29864641775762e-09	6.88964861304926e-08	12.7122712971494	RGS4
ILMN_1701827	2.00506863175	5.94847418085714	24.3720598694692	1.30519066808148e-09	6.91184606053639e-08	12.7069165526034	CADM3
ILMN_2406299	2.25736497316666	8.42416776014286	24.2853621706727	1.34767539500594e-09	7.12394836511715e-08	12.6727884577002	SEMA3B
ILMN_1653856	1.81767707666666	11.9252665485714	24.2511336040703	1.36486861423603e-09	7.20183375998238e-08	12.6592794781584	STS-1
ILMN_1779252	2.90509402908333	8.16886423857143	24.2178605429682	1.38181515477897e-09	7.27813971361549e-08	12.6461284959523	TRIM22
ILMN_2407669	2.77903780425	6.36249134142857	24.1877920063861	1.39733031705053e-09	7.34664602061487e-08	12.6342278362894	PEAR1
ILMN_1800739	1.58978501625	6.33727504871429	24.1153207426189	1.43552444428106e-09	7.53393070802346e-08	12.6054812249963	SPINT2
